0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:28 +0800] "GET /manager/page/logout.do HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:30 +0800] "GET /manager/page/login.do HTTP/1.1" 200 2772
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:35 +0800] "POST /manager/page/login.do HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:35 +0800] "GET /manager/page/index.do HTTP/1.1" 200 7780
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:35 +0800] "POST /manager/system/user/notNeedAuth_loadUser.do HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:35 +0800] "POST /manager/system/notifications/notNeedAuth_countStatus.do HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:35 +0800] "GET /manager/page/skin-config.html HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:39 +0800] "GET /manager/settings/posbuttons/posbuttons.do HTTP/1.1" 200 7296
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:39 +0800] "POST /manager/system/user/notNeedAuth_loadUser.do HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:39 +0800] "POST /manager/system/notifications/notNeedAuth_countStatus.do HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:51 +0800] "GET /manager/settings/posbuttons/posbuttons.do HTTP/1.1" 200 7296
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:51 +0800] "GET /manager/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:51 +0800] "GET /manager/resources/font-awesome/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:51 +0800] "GET /manager/resources/css/plugins/sweetalert/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:51 +0800] "GET /manager/resources/js/jquery-2.1.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:51 +0800] "GET /manager/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:51 +0800] "GET /manager/resources/js/plugins/metisMenu/jquery.metisMenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:51 +0800] "GET /manager/resources/js/plugins/slimscroll/jquery.slimscroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:51 +0800] "GET /manager/resources/js/plugins/sweetalert/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:51 +0800] "GET /manager/resources/js/plugins/validate/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:51 +0800] "GET /manager/resources/js/plugins/ladda/ladda.jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:51 +0800] "GET /manager/resources/js/plugins/ladda/ladda.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:51 +0800] "GET /manager/resources/js/plugins/ladda/spin.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:51 +0800] "GET /manager/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:51 +0800] "GET /manager/resources/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:51 +0800] "GET /manager/resources/css/plugins/ladda/ladda-themeless.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:51 +0800] "POST /manager/system/user/notNeedAuth_loadUser.do HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [18/Sep/2019:15:35:51 +0800] "GET /manager/resources/css/patterns/header-profile.png HTTP/1.1" 304 -
