127.0.0.1 - - [17/Sep/2019:15:05:33 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [17/Sep/2019:15:05:46 +0800] "GET /manager/resources/css/plugins/sweetalert/sweetalert.css HTTP/1.1" 200 18130
0:0:0:0:0:0:0:1 - - [17/Sep/2019:15:05:46 +0800] "GET /manager/resources/js/plugins/slimscroll/jquery.slimscroll.min.js HTTP/1.1" 200 4682
0:0:0:0:0:0:0:1 - - [17/Sep/2019:15:05:46 +0800] "GET /manager/resources/js/plugins/metisMenu/jquery.metisMenu.js HTTP/1.1" 200 3256
0:0:0:0:0:0:0:1 - - [17/Sep/2019:15:05:46 +0800] "GET /manager/resources/js/inspinia.js HTTP/1.1" 200 8487
0:0:0:0:0:0:0:1 - - [17/Sep/2019:15:05:46 +0800] "GET /manager/resources/js/plugins/pace/pace.min.js HTTP/1.1" 200 12507
0:0:0:0:0:0:0:1 - - [17/Sep/2019:15:05:46 +0800] "GET /manager/resources/js/plugins/sweetalert/sweetalert.min.js HTTP/1.1" 200 16141
0:0:0:0:0:0:0:1 - - [17/Sep/2019:15:05:46 +0800] "GET /manager/resources/css/patterns/header-profile.png HTTP/1.1" 200 5877
0:0:0:0:0:0:0:1 - - [17/Sep/2019:15:05:46 +0800] "GET /manager/resources/font-awesome/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 200 56780
0:0:0:0:0:0:0:1 - - [17/Sep/2019:15:05:46 +0800] "POST /manager/system/user/notNeedAuth_loadUser.do HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [17/Sep/2019:15:05:46 +0800] "GET /manager/page/skin-config.html HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [17/Sep/2019:15:05:46 +0800] "GET /manager/resources/img/system/admin.jpg HTTP/1.1" 200 5916
0:0:0:0:0:0:0:1 - - [17/Sep/2019:15:05:46 +0800] "POST /manager/system/notifications/notNeedAuth_countStatus.do HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [17/Sep/2019:15:06:00 +0800] "GET /manager/resources/css/plugins/dataTables/datatables.min.css HTTP/1.1" 200 10311
0:0:0:0:0:0:0:1 - - [17/Sep/2019:15:06:00 +0800] "GET /manager/resources/css/plugins/jsTree/style.min.css HTTP/1.1" 200 25605
0:0:0:0:0:0:0:1 - - [17/Sep/2019:15:06:00 +0800] "GET /manager/resources/js/plugins/dataTables/datatables.min.js HTTP/1.1" 200 1189517
0:0:0:0:0:0:0:1 - - [17/Sep/2019:15:06:00 +0800] "GET /manager/resources/js/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 228478
0:0:0:0:0:0:0:1 - - [17/Sep/2019:15:06:00 +0800] "GET /manager/resources/js/plugins/jsTree/jstree.min.js HTTP/1.1" 200 118089
0:0:0:0:0:0:0:1 - - [17/Sep/2019:15:06:01 +0800] "GET /manager/system/menu/menu.do HTTP/1.1" 200 92099
0:0:0:0:0:0:0:1 - - [17/Sep/2019:15:06:01 +0800] "POST /manager/system/user/notNeedAuth_loadUser.do HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [17/Sep/2019:15:06:01 +0800] "POST /manager/system/notifications/notNeedAuth_countStatus.do HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [17/Sep/2019:15:06:01 +0800] "GET /manager/system/menu/skin-config.html HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [17/Sep/2019:15:06:01 +0800] "GET /manager/resources/css/plugins/jsTree/throbber.gif HTTP/1.1" 200 1720
0:0:0:0:0:0:0:1 - - [17/Sep/2019:15:06:01 +0800] "GET /manager/system/menu/menuTree.do?id=%23 HTTP/1.1" 200 1189
0:0:0:0:0:0:0:1 - - [17/Sep/2019:15:06:02 +0800] "GET /manager/system/menu/menuTree.do?id=%23 HTTP/1.1" 200 1189
0:0:0:0:0:0:0:1 - - [17/Sep/2019:15:06:02 +0800] "GET /manager/resources/css/plugins/jsTree/32px.png HTTP/1.1" 200 3121
