127.0.0.1 - - [19/Jun/2018:11:13:54 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [19/Jun/2018:11:14:11 +0800] "GET /ssi/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jun/2018:11:14:12 +0800] "GET /ssi/page/login.do HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [19/Jun/2018:11:14:13 +0800] "GET /ssi/css/common.css HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [19/Jun/2018:11:14:13 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/easyui.css HTTP/1.1" 200 58597
0:0:0:0:0:0:0:1 - - [19/Jun/2018:11:14:13 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icon.css HTTP/1.1" 200 2756
0:0:0:0:0:0:0:1 - - [19/Jun/2018:11:14:13 +0800] "GET /ssi/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2018:11:14:13 +0800] "GET /ssi/js/jquery-easyui-1.4.5/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2018:11:14:13 +0800] "GET /ssi/js/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2018:11:14:13 +0800] "GET /ssi/js/jquery-easyui-1.4.5/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2018:11:14:13 +0800] "GET /ssi/js/jquery-easyui-1.4.5/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2018:11:14:13 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/man.png HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Jun/2018:11:14:13 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/reload.png HTTP/1.1" 200 1045
0:0:0:0:0:0:0:1 - - [19/Jun/2018:11:14:14 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/lock.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2018:11:14:14 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/blank.gif HTTP/1.1" 200 43
